name,website,amount,purchase_date
Fluent Forms,https://wpmanageninja.com/wp-login.php, $ 199.00 ,7/6/2021
Inc File Registered Agent,https://incfile.com, $ 119.00 ,11/2/2021
Meta Box,https://metabox.io/my-account/, $ 159.20 ,11/4/2021
Automatic CSS,https://automaticcss.com/wp-login.php, $ 99.00 ,2/5/2022
Critical CSS,https://criticalcss.com/login, $ 29.70 ,2/19/2022
WP Time Capsule,https://service.wptimecapsule.com/, $ 199.00 ,2/28/2022
Perfmatters,https://perfmatters.io/account/, $ 106.21 ,3/14/2022
Imagify,https://app.imagify.io, $ 99.90 ,3/17/2022
Elementor,https://my.elementor.com, $ 99.00 ,3/21/2022
Canva,https://canva.com, $ 119.99 ,3/21/2022
PDF Print,https://bestwebsoft.com/wp-login.php, $ 43.00 ,3/25/2022
iThemes Security Pro,https://members.ithemes.com/, $ 199.00 ,4/19/2022
Fluent Support,https://wpmanageninja.com/wp-login.php, $ 249.00 ,5/5/2022
Coolors,https://coolors.co/454545-6d5959-9dcbba-abebd2-04f06a, $ 36.00 ,5/9/2022
Astra Pro,https://store.brainstormforce.com/wp-login.php, $ 59.00 ,5/13/2022
Zoom,https://zoom.us/oauth2/login, $ 150.00 ,5/22/2022
