name,website,amount,purchase_date
Fluent Forms,https://wpmanageninja.com/wp-login.php,199.00,2021-07-06
Inc File Registered Agent,https://incfile.com,119.00,2021-11-02
Meta Box,https://metabox.io/my-account/,159.20,2021-11-04
Automatic CSS,https://automaticcss.com/wp-login.php,99.00,2022-02-05
Critical CSS,https://criticalcss.com/login,29.70,2022-02-19
WP Time Capsule,https://service.wptimecapsule.com/,199.00,2022-02-28
Perfmatters,https://perfmatters.io/account/,106.21,2022-03-14
Imagify,https://app.imagify.io,99.90,2022-03-17
Elementor,https://my.elementor.com,99.00,2022-03-21
Canva,https://canva.com,119.99,2022-03-21
PDF Print,https://bestwebsoft.com/wp-login.php,43.00,2022-03-25
iThemes Security Pro,https://members.ithemes.com/,199.00,2022-04-19
Fluent Support,https://wpmanageninja.com/wp-login.php,249.00,2022-05-05
Coolors,https://coolors.co/454545-6d5959-9dcbba-abebd2-04f06a,36.00,2022-05-09
Astra Pro,https://store.brainstormforce.com/wp-login.php,59.00,2022-05-13
Zoom,https://zoom.us/oauth2/login,150.00,2022-05-22
